,Unnamed: 0,completion_year,rent,rent_type,region,district,property_type,rooms,parking,bathroom,size,furnished_rate,facilities_rate,maintanance_fee,completion_rate,competition_rate_x,competition_rate_y
6168,6168,2021.0,1600,house,Kuala Lumpur,Setapak,Apartment,4,2.0,2.0,1000.0,1.0,9.0,2250.0,new,17.0,17.0
6169,6169,,602,house,Kuala Lumpur,Cheras,Condominium,2,1.0,1.0,590.0,0.0,9.0,0.0,new,30.0,30.0
6170,6170,,1300,house,Kuala Lumpur,Desa Petaling,Apartment,3,,2.0,850.0,1.0,8.0,0.0,new,2.0,2.0
6171,6171,2021.0,1100,house,Kuala Lumpur,Kuchai Lama,Condominium,3,,2.0,1000.0,1.0,4.0,2250.0,new,64.0,64.0
6172,6172,,1200,house,Kuala Lumpur,Ampang,Apartment,3,,2.0,850.0,0.0,9.0,0.0,new,12.0,12.0
6173,6173,,1200,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,1200.0,0.0,4.0,0.0,new,1.0,1.0
6174,6174,,1300,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,800.0,2.0,2.0,0.0,new,9.0,9.0
6175,6175,,780,house,Kuala Lumpur,Wangsa Maju,Flat,2,,1.0,560.0,0.0,,0.0,new,11.0,11.0
6176,6176,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,820.0,1.0,10.0,1845.0,new,213.0,213.0
6177,6177,,2100,house,Kuala Lumpur,KLCC,Condominium,2,,2.0,700.0,2.0,9.0,0.0,new,21.0,21.0
6178,6178,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,820.0,1.0,10.0,1845.0,new,213.0,213.0
6179,6179,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,820.0,1.0,11.0,1845.0,new,213.0,213.0
6180,6180,2021.0,1100,house,Kuala Lumpur,Cheras,Service Residence,3,1.0,2.0,820.0,1.0,10.0,1845.0,new,213.0,213.0
6181,6181,,1205,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,926.0,0.0,7.0,0.0,new,153.0,153.0
6182,6182,2005.0,1500,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1200.0,1.0,8.0,5388.0,moderate,10.0,10.0
6183,6183,2017.0,1400,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,2.0,948.0,1.0,10.0,2133.0,new,18.0,18.0
6184,6184,,2000,house,Kuala Lumpur,Keramat,Condominium,4,1.0,3.0,1280.0,1.0,5.0,0.0,new,7.0,7.0
6185,6185,2016.0,1700,room,Kuala Lumpur,KL City,Service Residence,1,1.0,1.0,530.0,2.0,11.0,1192.5,new,44.0,44.0
6186,6186,,1200,house,Kuala Lumpur,Setapak,Condominium,3,,2.0,1200.0,1.0,,0.0,new,10.0,10.0
6187,6187,2010.0,1400,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,755.0,2.0,5.0,3389.9500000000003,moderate,33.0,33.0
6188,6188,2002.0,1300,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,730.0,1.0,6.0,6562.7,old,20.0,20.0
6189,6189,2020.0,800,room,Kuala Lumpur,Bukit Jalil,Condominium,1,,1.0,100.0,2.0,12.0,225.0,new,40.0,40.0
6190,6190,2017.0,1350,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,850.0,1.0,6.0,1912.5,new,17.0,17.0
6191,6191,,1100,house,Kuala Lumpur,Desa Pandan,Apartment,3,1.0,2.0,900.0,0.0,7.0,0.0,new,43.0,43.0
6192,6192,2021.0,1700,room,Kuala Lumpur,Sri Damansara,Service Residence,1,1.0,1.0,499.0,1.0,11.0,1122.75,new,37.0,37.0
6193,6193,,2100,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,873.0,2.0,5.0,0.0,new,,
6194,6194,2016.0,1400,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,900.0,1.0,6.0,2025.0,new,3.0,3.0
6195,6195,,800,house,Kuala Lumpur,Cheras,Apartment,3,1.0,1.0,780.0,0.0,4.0,0.0,new,7.0,7.0
6196,6196,,2400,house,Kuala Lumpur,Bandar Menjalara,Condominium,3,1.0,2.0,1316.0,2.0,8.0,0.0,new,5.0,5.0
6197,6197,,1800,house,Kuala Lumpur,Segambut,Condominium,4,1.0,3.0,1400.0,2.0,5.0,0.0,new,4.0,4.0
6198,6198,2021.0,1300,house,Kuala Lumpur,Sentul,Service Residence,4,,2.0,1001.0,2.0,14.0,2252.25,new,140.0,140.0
6199,6199,,1650,room,Kuala Lumpur,Jalan Kuching,Condominium,1,1.0,1.0,563.0,2.0,8.0,0.0,new,5.0,5.0
6200,6200,2021.0,1300,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,2.0,8.0,1462.5,new,213.0,213.0
6201,6201,,1200,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950.0,1.0,7.0,0.0,new,51.0,51.0
6202,6202,,1200,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,900.0,1.0,4.0,0.0,new,54.0,54.0
6203,6203,,1300,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950.0,1.0,7.0,0.0,new,51.0,51.0
6204,6204,1999.0,1500,house,Kuala Lumpur,Cheras,Condominium,3,,2.0,1100.0,1.0,10.0,9889.0,old,19.0,19.0
6205,6205,2010.0,1800,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,1007.0,2.0,10.0,4521.43,moderate,29.0,29.0
6206,6206,2020.0,1300,house,Kuala Lumpur,Sentul,Service Residence,2,1.0,2.0,650.0,1.0,10.0,1462.5,new,47.0,47.0
6207,6207,,1750,house,Kuala Lumpur,Bangsar South,Apartment,3,1.0,2.0,930.0,2.0,1.0,0.0,new,1.0,1.0
6208,6208,2020.0,900,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,800.0,1.0,4.0,1800.0,new,57.0,57.0
6209,6209,2023.0,2000,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,850.0,1.0,8.0,1912.5,new,115.0,115.0
6210,6210,,800,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,650.0,0.0,2.0,0.0,new,13.0,13.0
6211,6211,2021.0,1200,house,Kuala Lumpur,Sentul,Service Residence,3,,2.0,850.0,2.0,14.0,1912.5,new,140.0,140.0
6212,6212,,1000,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,960.0,1.0,7.0,0.0,new,51.0,51.0
6213,6213,,800,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,720.0,0.0,3.0,0.0,new,10.0,10.0
6214,6214,,750,house,Kuala Lumpur,Ampang,Apartment,2,,1.0,550.0,0.0,,0.0,new,9.0,9.0
6215,6215,,1300,house,Kuala Lumpur,Setapak,Apartment,3,1.0,2.0,855.0,1.0,6.0,0.0,new,34.0,34.0
6216,6216,,5200,house,Kuala Lumpur,Keramat,Service Residence,3,1.0,2.0,1211.0,2.0,3.0,0.0,new,25.0,25.0
6217,6217,2016.0,2500,house,Kuala Lumpur,Bandar Menjalara,Service Residence,3,2.0,2.0,1400.0,1.0,7.0,3150.0,new,2.0,2.0
6218,6218,,2200,room,Kuala Lumpur,Sri Damansara,Service Residence,1,1.0,1.0,499.0,2.0,11.0,0.0,new,,
6219,6219,2010.0,1800,house,Kuala Lumpur,Wangsa Maju,Condominium,3,2.0,3.0,1267.0,2.0,11.0,5688.83,moderate,41.0,41.0
6220,6220,,3350,house,Kuala Lumpur,KL City,Condominium,4,,3.0,1540.0,2.0,7.0,0.0,new,1.0,1.0
6221,6221,2020.0,1500,house,Kuala Lumpur,Pantai,Apartment,3,1.0,2.0,810.0,1.0,6.0,1822.5,new,56.0,56.0
6222,6222,2021.0,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,960.0,1.0,2.0,2160.0,new,4.0,4.0
6223,6223,,1700,house,Kuala Lumpur,Ampang,Condominium,3,1.0,2.0,1124.0,1.0,3.0,0.0,new,9.0,9.0
6224,6224,2015.0,2100,house,Kuala Lumpur,Ampang,Service Residence,2,1.0,2.0,950.0,2.0,10.0,2137.5,new,59.0,59.0
6225,6225,2020.0,2300,house,Kuala Lumpur,Keramat,Condominium,4,2.0,2.0,1184.0,2.0,13.0,2664.0,new,153.0,153.0
6226,6226,2014.0,1400,house,Kuala Lumpur,Sentul,Condominium,3,,2.0,1100.0,1.0,8.0,4939.0,moderate,25.0,25.0
6227,6227,2019.0,3000,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,947.0,2.0,10.0,2130.75,new,2.0,2.0
6228,6228,2021.0,1300,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,680.0,1.0,8.0,1530.0,new,213.0,213.0
6229,6229,,1350,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,750.0,0.0,5.0,0.0,new,14.0,14.0
6230,6230,2007.0,1500,house,Kuala Lumpur,Setapak,Condominium,3,1.0,2.0,1066.0,0.0,12.0,4786.34,moderate,46.0,46.0
6231,6231,1990.0,850,house,Kuala Lumpur,Kepong,Apartment,3,1.0,2.0,850.0,0.0,5.0,7641.5,old,12.0,12.0
6232,6232,2021.0,1400,house,Kuala Lumpur,Kuchai Lama,Condominium,3,2.0,2.0,1200.0,0.0,5.0,2700.0,new,64.0,64.0
6233,6233,2021.0,1400,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,1100.0,1.0,8.0,2475.0,new,64.0,64.0
6234,6234,2022.0,1700,house,Kuala Lumpur,Taman Desa,Condominium,3,2.0,2.0,921.0,1.0,9.0,2072.25,new,57.0,57.0
6235,6235,,1600,house,Kuala Lumpur,Setapak,Condominium,3,2.0,2.0,1333.0,0.0,8.0,0.0,new,7.0,7.0
6236,6236,2017.0,3200,house,Kuala Lumpur,Bangsar South,Service Residence,3,1.0,2.0,990.0,2.0,9.0,2227.5,new,18.0,18.0
6237,6237,1997.0,1700,house,Kuala Lumpur,Taman Desa,Service Residence,3,1.0,2.0,935.0,1.0,9.0,8405.65,old,21.0,21.0
6238,6238,2020.0,2300,house,Kuala Lumpur,Keramat,Condominium,4,2.0,2.0,1184.0,2.0,13.0,2664.0,new,153.0,153.0
6239,6239,2015.0,1750,house,Kuala Lumpur,Sungai Besi,Service Residence,3,2.0,2.0,1089.0,2.0,10.0,2450.25,new,4.0,4.0
6240,6240,,1200,house,Kuala Lumpur,Pandan Jaya,Apartment,3,1.0,2.0,900.0,0.0,5.0,0.0,new,7.0,7.0
6241,6241,2020.0,1100,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,850.0,1.0,6.0,1912.5,new,56.0,56.0
6242,6242,2004.0,1400,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,9.0,9889.0,old,42.0,42.0
6243,6243,,1200,house,Kuala Lumpur,Taman Desa,Apartment,3,,2.0,900.0,1.0,,0.0,new,5.0,5.0
6244,6244,2007.0,1600,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1295.0,1.0,9.0,5814.55,moderate,5.0,5.0
6245,6245,2013.0,2800,house,Kuala Lumpur,Mid Valley City,Service Residence,2,1.0,1.0,797.0,2.0,12.0,3578.53,moderate,6.0,6.0
6246,6246,2020.0,1600,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1001.0,1.0,7.0,2252.25,new,7.0,7.0
6247,6247,,1500,house,Kuala Lumpur,OUG,Service Residence,3,1.0,2.0,950.0,2.0,9.0,0.0,new,51.0,51.0
6248,6248,2006.0,1900,room,Kuala Lumpur,KL City,Condominium,1,,1.0,616.0,2.0,7.0,2765.84,moderate,1.0,1.0
6249,6249,,1300,house,Kuala Lumpur,Bukit Jalil,Condominium,4,1.0,3.0,1424.0,1.0,5.0,0.0,new,8.0,8.0
6250,6250,,2300,house,Kuala Lumpur,Sentul,Service Residence,3,2.0,3.0,999.0,1.0,12.0,0.0,new,12.0,12.0
6251,6251,2019.0,3500,house,Kuala Lumpur,KLCC,Service Residence,3,,2.0,818.0,2.0,6.0,1840.5,new,17.0,17.0
6252,6252,,1200,house,Kuala Lumpur,Kuchai Lama,Apartment,3,,2.0,750.0,2.0,1.0,0.0,new,10.0,10.0
6253,6253,2020.0,1500,house,Kuala Lumpur,Sentul,Apartment,3,1.0,1.0,850.0,1.0,7.0,1912.5,new,56.0,56.0
6254,6254,2005.0,1500,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,920.0,2.0,8.0,4130.8,moderate,37.0,37.0
6255,6255,2010.0,2300,house,Kuala Lumpur,Taman Melawati,Condominium,4,,3.0,1389.0,1.0,10.0,6236.610000000001,moderate,33.0,33.0
6256,6256,2019.0,1500,house,Kuala Lumpur,Segambut,Service Residence,2,2.0,2.0,903.0,0.0,,2031.75,new,18.0,18.0
6257,6257,2017.0,1400,house,Kuala Lumpur,Cheras,Service Residence,3,,2.0,1050.0,1.0,4.0,2362.5,new,49.0,49.0
6258,6258,2018.0,1800,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,320.0,2.0,6.0,720.0,new,16.0,16.0
6259,6259,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,,2.0,926.0,1.0,,0.0,new,23.0,23.0
6260,6260,,2100,house,Kuala Lumpur,Solaris Dutamas,Service Residence,3,3.0,2.0,850.0,2.0,8.0,0.0,new,2.0,2.0
6261,6261,2019.0,1500,house,Kuala Lumpur,Kepong,Condominium,3,2.0,2.0,1100.0,0.0,14.0,2475.0,new,32.0,32.0
6262,6262,2010.0,2500,house,Kuala Lumpur,Taman Tun Dr Ismail,Condominium,3,1.0,2.0,1400.0,1.0,11.0,6286.0,moderate,1.0,1.0
6263,6263,2007.0,1700,house,Kuala Lumpur,Segambut,Condominium,3,1.0,2.0,1075.0,2.0,9.0,4826.75,moderate,13.0,13.0
6264,6264,,1600,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1200.0,1.0,3.0,0.0,new,14.0,14.0
6265,6265,,700,house,Kuala Lumpur,Cheras,Flat,2,,1.0,665.0,0.0,1.0,0.0,new,4.0,4.0
6266,6266,2007.0,1400,house,Kuala Lumpur,Segambut,Condominium,3,1.0,2.0,1049.0,0.0,9.0,4710.01,moderate,13.0,13.0
6267,6267,,604,house,Kuala Lumpur,Sungai Besi,Condominium,2,1.0,1.0,593.0,0.0,10.0,0.0,new,30.0,30.0
6268,6268,2021.0,2400,house,Kuala Lumpur,Kepong,Apartment,2,1.0,2.0,866.0,2.0,11.0,1948.5,new,24.0,24.0
6269,6269,,1850,house,Kuala Lumpur,Ampang,Condominium,2,,1.0,1066.0,2.0,11.0,0.0,new,2.0,2.0
6270,6270,2017.0,4800,house,Kuala Lumpur,Mont Kiara,Condominium,3,2.0,2.0,1200.0,2.0,,2700.0,new,2.0,2.0
6271,6271,2004.0,1800,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,11.0,9889.0,old,42.0,42.0
6272,6272,2019.0,2800,house,Kuala Lumpur,Kepong,Service Residence,3,,2.0,958.0,2.0,10.0,2155.5,new,25.0,25.0
6273,6273,2021.0,1700,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1000.0,1.0,11.0,2250.0,new,3.0,3.0
6274,6274,2012.0,2400,room,Kuala Lumpur,Sri Hartamas,Service Residence,1,1.0,1.0,672.0,2.0,1.0,3017.28,moderate,4.0,4.0
6275,6275,2019.0,2300,house,Kuala Lumpur,Ampang Hilir,Service Residence,2,1.0,2.0,845.0,2.0,4.0,1901.25,new,15.0,15.0
6276,6276,2015.0,2100,room,Kuala Lumpur,KL City,Service Residence,1,,1.0,680.0,2.0,12.0,1530.0,new,11.0,11.0
6277,6277,2008.0,2800,house,Kuala Lumpur,City Centre,Condominium,3,2.0,2.0,960.0,2.0,6.0,4310.400000000001,moderate,1.0,1.0
6278,6278,2019.0,1900,house,Kuala Lumpur,Kepong,Service Residence,3,2.0,2.0,958.0,1.0,10.0,2155.5,new,25.0,25.0
6279,6279,2025.0,2000,house,Kuala Lumpur,Cheras,Condominium,2,2.0,2.0,893.0,1.0,10.0,0.0,unknown,25.0,25.0
6280,6280,,1100,house,Kuala Lumpur,Sri Petaling,Apartment,3,1.0,2.0,800.0,1.0,3.0,0.0,new,11.0,11.0
6281,6281,,750,house,Kuala Lumpur,Cheras,Flat,3,,1.0,600.0,0.0,1.0,0.0,new,1.0,1.0
6282,6282,2019.0,4000,house,Kuala Lumpur,KLCC,Service Residence,3,,2.0,887.0,2.0,10.0,1995.75,new,17.0,17.0
6283,6283,,1500,house,Kuala Lumpur,Keramat,Condominium,2,,1.0,800.0,1.0,6.0,0.0,new,22.0,22.0
6284,6284,2020.0,2800,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1100.0,2.0,7.0,2475.0,new,22.0,22.0
6285,6285,,850,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,655.0,1.0,1.0,0.0,new,9.0,9.0
6286,6286,,900,house,Kuala Lumpur,Kuchai Lama,Apartment,3,1.0,2.0,900.0,1.0,1.0,0.0,new,10.0,10.0
6287,6287,1980.0,1500,house,Kuala Lumpur,Pantai,Condominium,3,1.0,2.0,1040.0,2.0,10.0,9349.6,old,4.0,4.0
6288,6288,,3700,house,Kuala Lumpur,Keramat,Service Residence,2,1.0,2.0,775.0,2.0,9.0,0.0,new,25.0,25.0
6289,6289,2020.0,2700,house,Kuala Lumpur,Bukit Jalil,Condominium,3,2.0,2.0,1226.0,2.0,7.0,2758.5,new,22.0,22.0
6290,6290,,700,house,Kuala Lumpur,Old Klang Road,Flat,2,,2.0,600.0,0.0,1.0,0.0,new,3.0,3.0
6291,6291,,1200,house,Kuala Lumpur,Salak Selatan,Apartment,3,1.0,1.0,797.0,1.0,3.0,0.0,new,2.0,2.0
6292,6292,,1700,house,Kuala Lumpur,Keramat,Apartment,3,1.0,1.0,952.0,1.0,4.0,0.0,new,7.0,7.0
6293,6293,,1400,house,Kuala Lumpur,Bangsar South,Flat,3,,2.0,750.0,0.0,2.0,0.0,new,14.0,14.0
6294,6294,,1700,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1134.0,0.0,7.0,0.0,new,6.0,6.0
6295,6295,,1000,house,Kuala Lumpur,Setiawangsa,Flat,2,,1.0,600.0,2.0,,0.0,new,2.0,2.0
6296,6296,,1600,house,Kuala Lumpur,Setapak,Service Residence,3,1.0,2.0,926.0,1.0,6.0,0.0,new,23.0,23.0
6297,6297,1998.0,1600,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,960.0,2.0,5.0,8630.4,old,29.0,29.0
6298,6298,,1400,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,700.0,2.0,2.0,0.0,new,4.0,4.0
6299,6299,,800,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,705.0,0.0,,0.0,new,7.0,7.0
6300,6300,2013.0,3500,house,Kuala Lumpur,Ampang,Condominium,3,2.0,2.0,1647.0,2.0,10.0,7395.030000000001,moderate,5.0,5.0
6301,6301,2022.0,2000,house,Kuala Lumpur,Setapak,Service Residence,4,2.0,2.0,1100.0,1.0,,2475.0,new,68.0,68.0
6302,6302,2010.0,7000,house,Kuala Lumpur,Mont Kiara,Condominium,4,3.0,3.0,2411.0,1.0,,10825.390000000001,moderate,1.0,1.0
6303,6303,2016.0,2600,house,Kuala Lumpur,KL City,Service Residence,2,1.0,2.0,508.0,2.0,11.0,1143.0,new,44.0,44.0
6304,6304,2007.0,2400,house,Kuala Lumpur,Wangsa Maju,Condominium,3,1.0,2.0,1260.0,2.0,3.0,5657.400000000001,moderate,13.0,13.0
6305,6305,2020.0,1700,house,Kuala Lumpur,Keramat,Condominium,3,1.0,2.0,926.0,1.0,11.0,2083.5,new,153.0,153.0
6306,6306,2017.0,2500,house,Kuala Lumpur,Solaris Dutamas,Condominium,4,2.0,3.0,1500.0,1.0,7.0,3375.0,new,9.0,9.0
6307,6307,,11000,house,Kuala Lumpur,Mont Kiara,Condominium,5,,6.0,2767.0,2.0,14.0,0.0,new,,
6308,6308,2015.0,120,house,Kuala Lumpur,Old Klang Road,Condominium,3,,3.0,1350.0,2.0,12.0,3037.5,new,4.0,4.0
6309,6309,2006.0,2800,house,Kuala Lumpur,KLCC,Service Residence,2,1.0,2.0,1100.0,2.0,10.0,4939.0,moderate,1.0,1.0
6310,6310,,1800,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1003.0,2.0,14.0,0.0,new,54.0,54.0
6311,6311,,1350,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,1000.0,1.0,14.0,0.0,new,54.0,54.0
6312,6312,,1650,room,Kuala Lumpur,Setapak,Service Residence,1,1.0,1.0,689.0,2.0,6.0,0.0,new,12.0,12.0
6313,6313,,1400,house,Kuala Lumpur,Taman Desa,Apartment,3,1.0,2.0,900.0,1.0,6.0,0.0,new,5.0,5.0
6314,6314,2007.0,1100,house,Kuala Lumpur,Kepong,Condominium,3,1.0,2.0,962.0,1.0,10.0,4319.38,moderate,34.0,34.0
6315,6315,2019.0,1200,room,Kuala Lumpur,Setapak,Condominium,1,,1.0,350.0,2.0,8.0,787.5,new,14.0,14.0
6316,6316,2017.0,1750,room,Kuala Lumpur,Cheras,Service Residence,1,,2.0,761.0,0.0,12.0,1712.25,new,14.0,14.0
6317,6317,,800,house,Kuala Lumpur,Setapak,Apartment,2,,2.0,588.0,0.0,2.0,0.0,new,4.0,4.0
6318,6318,2019.0,2200,house,Kuala Lumpur,Sungai Besi,Condominium,3,2.0,2.0,839.0,2.0,14.0,1887.75,new,20.0,20.0
6319,6319,2021.0,2500,house,Kuala Lumpur,Cheras,Condominium,3,2.0,2.0,990.0,2.0,7.0,2227.5,new,6.0,6.0
6320,6320,2017.0,2100,house,Kuala Lumpur,Jalan Ipoh,Condominium,3,2.0,2.0,978.0,2.0,14.0,2200.5,new,28.0,28.0
6321,6321,2009.0,900,house,Kuala Lumpur,Sentul,Condominium,3,1.0,1.0,678.0,0.0,7.0,3044.2200000000003,moderate,19.0,19.0
6322,6322,2019.0,2100,house,Kuala Lumpur,Keramat,Condominium,3,2.0,2.0,1050.0,2.0,7.0,2362.5,new,33.0,33.0
6323,6323,2019.0,1800,house,Kuala Lumpur,Sentul,Condominium,3,,2.0,800.0,2.0,9.0,1800.0,new,7.0,7.0
6324,6324,2007.0,2300,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1295.0,2.0,9.0,5814.55,moderate,5.0,5.0
6325,6325,2021.0,1400,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,1.0,9.0,1462.5,new,213.0,213.0
6326,6326,2021.0,1300,house,Kuala Lumpur,Cheras,Service Residence,3,2.0,2.0,820.0,0.0,8.0,1845.0,new,213.0,213.0
6327,6327,,950,house,Kuala Lumpur,Setapak,Apartment,3,,2.0,653.0,1.0,3.0,0.0,new,24.0,24.0
6328,6328,2007.0,1950,house,Kuala Lumpur,Bukit Bintang,Service Residence,2,1.0,2.0,742.0,2.0,8.0,3331.5800000000004,moderate,22.0,22.0
6329,6329,2015.0,2000,house,Kuala Lumpur,Desa Pandan,Service Residence,2,2.0,2.0,1087.0,1.0,6.0,2445.75,new,23.0,23.0
6330,6330,2013.0,1900,house,Kuala Lumpur,Jalan Kuching,Condominium,3,1.0,2.0,1100.0,2.0,9.0,4939.0,moderate,40.0,40.0
6331,6331,2016.0,4500,house,Kuala Lumpur,KLCC,Service Residence,3,2.0,2.0,1190.0,2.0,5.0,2677.5,new,1.0,1.0
6332,6332,,900,house,Kuala Lumpur,Jalan Ipoh,Apartment,3,,2.0,850.0,0.0,2.0,0.0,new,8.0,8.0
6333,6333,,1650,house,Kuala Lumpur,Wangsa Maju,Apartment,3,1.0,2.0,800.0,0.0,4.0,0.0,new,28.0,28.0
6334,6334,2016.0,1700,house,Kuala Lumpur,Kuchai Lama,Condominium,3,1.0,2.0,935.0,2.0,10.0,2103.75,new,13.0,13.0
6335,6335,,1200,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,820.0,1.0,8.0,0.0,new,5.0,5.0
6336,6336,2006.0,3000,house,Kuala Lumpur,City Centre,Condominium,4,3.0,3.0,1323.0,2.0,7.0,5940.27,moderate,14.0,14.0
6337,6337,,1499,house,Kuala Lumpur,Bukit Jalil,Apartment,3,1.0,2.0,1110.0,1.0,7.0,0.0,new,21.0,21.0
6338,6338,2004.0,1550,house,Kuala Lumpur,Jalan Kuching,Condominium,3,,2.0,1050.0,1.0,14.0,9439.5,old,42.0,42.0
6339,6339,,1700,house,Kuala Lumpur,Keramat,Apartment,3,1.0,2.0,950.0,0.0,4.0,0.0,new,7.0,7.0
6340,6340,,1150,house,Kuala Lumpur,Cheras,Apartment,2,1.0,1.0,900.0,1.0,14.0,0.0,new,19.0,19.0
6341,6341,,1400,room,Kuala Lumpur,Jalan Kuching,Condominium,1,1.0,1.0,650.0,1.0,8.0,0.0,new,5.0,5.0
6342,6342,,1200,house,Kuala Lumpur,Sentul,Apartment,3,,1.0,678.0,0.0,2.0,0.0,new,11.0,11.0
6343,6343,,1500,house,Kuala Lumpur,Desa Pandan,Apartment,3,,2.0,900.0,2.0,7.0,0.0,new,43.0,43.0
6344,6344,2020.0,1600,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,810.0,1.0,6.0,1822.5,new,56.0,56.0
6345,6345,,2500,house,Kuala Lumpur,Pantai,Condominium,3,,2.0,1500.0,2.0,5.0,0.0,new,5.0,5.0
6346,6346,2005.0,1499,house,Kuala Lumpur,Cheras,Condominium,3,1.0,2.0,1010.0,2.0,7.0,4534.900000000001,moderate,37.0,37.0
6347,6347,,2000,house,Kuala Lumpur,Keramat,Condominium,3,,3.0,1280.0,1.0,,0.0,new,7.0,7.0
6348,6348,2020.0,1500,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,1500.0,1.0,6.0,3375.0,new,56.0,56.0
6349,6349,,1090,house,Kuala Lumpur,Taman Desa,Condominium,3,1.0,2.0,950.0,1.0,9.0,0.0,new,21.0,21.0
6350,6350,,700,house,Kuala Lumpur,Cheras,Apartment,3,,2.0,650.0,0.0,2.0,0.0,new,12.0,12.0
6351,6351,,1500,house,Kuala Lumpur,Cheras,Apartment,3,1.0,2.0,1185.0,1.0,8.0,0.0,new,2.0,2.0
6352,6352,2020.0,1500,house,Kuala Lumpur,Pantai,Apartment,3,,2.0,810.0,1.0,6.0,1822.5,new,56.0,56.0
6353,6353,2020.0,1600,house,Kuala Lumpur,Sentul,Service Residence,3,1.0,2.0,819.0,2.0,10.0,1842.75,new,47.0,47.0
6354,6354,2021.0,1250,house,Kuala Lumpur,Cheras,Service Residence,2,1.0,2.0,650.0,1.0,8.0,1462.5,new,213.0,213.0
6355,6355,,1400,room,Kuala Lumpur,Old Klang Road,Service Residence,1,1.0,2.0,775.0,1.0,6.0,0.0,new,6.0,6.0
6356,6356,,2200,house,Kuala Lumpur,Desa ParkCity,Condominium,3,1.0,2.0,862.0,2.0,2.0,0.0,new,36.0,36.0
6357,6357,2017.0,1700,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1009.0,2.0,6.0,2270.25,new,11.0,11.0
6358,6358,,900,house,Kuala Lumpur,Kepong,Apartment,3,,2.0,935.0,1.0,2.0,0.0,new,14.0,14.0
6359,6359,2021.0,1400,house,Kuala Lumpur,Sentul,Condominium,4,2.0,2.0,1000.0,2.0,14.0,2250.0,new,17.0,17.0
6360,6360,,1500,house,Kuala Lumpur,Sentul,Condominium,3,1.0,2.0,1062.0,0.0,6.0,0.0,new,6.0,6.0
